gse_id,species,protocol,nrows,ncols,nnz,raw_int32_bytes,pz_bytes,ratio,read_s,read_gbps,read_mbps
GSE201610,Mus musculus,10x_suspect,171540,17237,94384846,755147720,65198570,11.582,0.5498,1.374,1373.5
GSE247392,Mus musculus,10xv3,171540,19312,96770802,774243668,72621876,10.661,0.6102,1.269,1268.9
GSE194214,Homo sapiens,10xv3,115818,80614,97956992,783978396,74141361,10.574,0.6605,1.187,1186.9
GSE311353,Mus musculus,10x_suspect,171540,46495,100192687,801727480,81415129,9.847,0.5762,1.391,1391.4
GSE256274,Unknown,10xv3,98499,1074040,102267004,822432196,121972608,6.743,1.7963,0.458,457.8
GSE253051,Mus musculus,10xv3,171540,318199,103783176,831538208,107417321,7.741,1.0199,0.815,815.3
GSE212351,Mus musculus,10x_suspect,171540,245120,105164499,842296476,96734858,8.707,0.9201,0.915,915.4
GSE259342,Mus musculus,10xv3,171540,15577,107544184,860415784,75031398,11.467,0.6671,1.29,1289.7
GSE264737,Mus musculus,nan,171540,29869,110050209,880521152,83498503,10.545,0.5883,1.497,1496.7
GSE307631,Homo sapiens,10xv3,115818,232387,111333449,891597144,108967740,8.182,0.896,0.995,995.1
GSE193451,Unknown,10xv3,98499,84506,114356169,915187380,93051254,9.835,0.6567,1.394,1393.5
GSE254914,Mus musculus,10xv3,171540,21404,116339107,930798476,83711059,11.119,0.6786,1.372,1371.6
GSE244215,Mus musculus,10x_suspect,171540,35446,118503291,948168116,93578040,10.132,0.7203,1.316,1316.4
GSE209763,Mus musculus,10x_suspect,171540,37839,121591464,972883072,91246355,10.662,0.7571,1.285,1285.0
GSE313497,Mus musculus,10xv3,171540,74026,123909881,991575156,105619927,9.388,0.821,1.208,1207.8
GSE156110,Homo sapiens,10x_suspect,115818,28344,126204325,1009747980,103278650,9.777,0.7719,1.308,1308.1
GSE295692,Rattus norvegicus,10x_suspect,91686,52743,128261696,1026304544,97007440,10.58,0.6022,1.704,1704.1
GSE213243,Homo sapiens,10xv3,115818,40090,131251273,1050170548,105730090,9.933,0.7524,1.396,1395.7
GSE309972,Mus musculus,10xv3,171540,47299,133202157,1065806456,103192314,10.328,0.7824,1.362,1362.2
GSE305068,Mus musculus,10xv3,171540,43363,136236396,1090064624,104020581,10.479,0.8176,1.333,1333.3
GSE118184,Homo sapiens,10x_suspect,115818,320911,138660145,1110564808,136445102,8.139,1.1377,0.976,976.1
GSE271609,Homo sapiens,10xv3,115818,24915,141172309,1129478136,97999330,11.525,0.6412,1.762,1761.6
GSE276160,Homo sapiens,10xv3,115818,30442,144734065,1157994292,102534644,11.294,0.7712,1.501,1501.5
GSE145388,Mus musculus,10x_suspect,171540,68736,146744819,1174233500,113658398,10.331,0.8705,1.349,1348.9
GSE255447,Mus musculus,10xv3,171540,30133,149861584,1199013208,104343582,11.491,0.714,1.679,1679.3
GSE118545,Mus musculus,dropseq,171540,1109861,152702388,1226058552,188898224,6.491,2.2523,0.544,544.3
GSE186558,Mus musculus,10x_suspect,171540,72962,155695170,1245853212,126024549,9.886,0.934,1.334,1333.9
GSE291781,Mus musculus,10xv3,171540,867199,159255406,1277512048,175271102,7.289,1.9666,0.65,649.6
GSE150358,Mus musculus,10xv3,171540,34833,163942109,1311676208,122999161,10.664,0.9402,1.395,1395.1
GSE256025,Mus musculus,10xv3,171540,165603,168218658,1346411680,137081077,9.822,1.1437,1.177,1177.3
GSE296841,Mus musculus,10x_multiome,171540,218912,171373756,1371865700,143755929,9.543,1.2119,1.132,1132.0
GSE204704,Homo sapiens,10xv3,115818,111155,176632304,1413503056,142158591,9.943,1.0469,1.35,1350.2
GSE271984,Homo sapiens,10xv3,115818,275120,181444586,1452657172,165690637,8.767,1.301,1.117,1116.5
GSE292667,Mus musculus,10xv4,171540,65141,186738811,1494171056,146189341,10.221,1.0724,1.393,1393.2
GSE107185,Homo sapiens,10x_suspect,115818,40626,192643822,1541313084,135343783,11.388,1.006,1.532,1532.1
GSE220466,Mus musculus,10x_suspect,171540,32499,196859135,1575003080,139669418,11.277,1.1893,1.324,1324.3
GSE214413,Mus musculus,nan,171540,202955,201636571,1613904392,173854455,9.283,1.3424,1.202,1202.2
GSE243429,Mus musculus,10xv3,171540,35393,206372716,1651123304,139477237,11.838,1.1157,1.48,1480.0
GSE241060,Homo sapiens,10xv3,115818,19682,213231256,1705928780,149101422,11.441,1.195,1.428,1427.5
GSE213330,Homo sapiens,10xv3,115818,247142,222474470,1780784332,187866139,9.479,1.419,1.255,1255.0
GSE260749,Mus musculus,10xv3,171540,36695,230587619,1844847736,184149724,10.018,1.3441,1.373,1372.6
GSE197731,Mus musculus,10x_suspect,171540,55875,234613839,1877134216,182082286,10.309,1.3838,1.357,1356.6
GSE290822,Homo sapiens,10xv3,115818,127947,241489431,1932427240,198763790,9.722,1.3958,1.384,1384.5
GSE182786,Homo sapiens,10xv3,115818,115223,246167762,1969802992,213665620,9.219,1.4143,1.393,1392.8
GSE267719,Mus musculus,10xv3,171540,92833,256529583,2052608000,194027780,10.579,1.3954,1.471,1471.0
GSE274973,Mus musculus,10xv3,171540,409655,263500865,2109645544,222583752,9.478,1.8399,1.147,1146.6
GSE278043,Homo sapiens,10xv3,115818,82147,271894299,2175482984,189501403,11.48,1.3649,1.594,1593.8
