gse_id,species,catalog_species,protocol,nrows,ncols,n_genes,nnz,density,is_usa,pz_bytes,raw_int32_bytes,ratio,bits_per_nz,codec,has_transpose,has_obs_var,num_chunks
GSE130105,Homo sapiens,Homo sapiens,10x_suspect,115818,37618,38606,6436126,0.001477,True,8785951,51639484,5.878,10.921,vocsc+zstd,False,True,37
GSE130238,Homo sapiens,Homo sapiens,10xv2,115818,16990,38606,45716086,0.023233,True,36299205,365796652,10.077,6.352,vocsc+zstd,False,True,17
GSE130439,Gallus gallus,Gallus gallus,10xv2,90324,214843,30108,24261792,0.00125,True,25200021,194953712,7.736,8.309,vocsc+zstd,False,True,210
GSE130453,Mus musculus,Mus musculus,10xv2,171540,3497,57180,10161001,0.016939,True,9678022,81302000,8.401,7.62,vocsc+zstd,False,True,4
GSE130554,Mus musculus,Mus musculus,10xv2,171540,15837,57180,56779310,0.0209,True,42590785,454297832,10.667,6.001,vocsc+zstd,False,True,16
GSE130593,Mus musculus,Mus musculus,10xv2,171540,51514,57180,180231273,0.020396,True,133510858,1442056244,10.801,5.926,vocsc+zstd,False,True,51
GSE130597,Mus musculus,,,171540,194321,57180,36977816,0.001109,True,40637487,296599816,7.299,8.792,vocsc+zstd,False,True,190
GSE130606,Mus musculus,Mus musculus,10xv2,171540,2766,57180,12145796,0.025598,True,9677757,97177436,10.041,6.374,vocsc+zstd,False,True,3
GSE130653,Mus musculus,Mus musculus,10xv2,171540,33336,57180,37734644,0.006599,True,31216997,302010500,9.675,6.618,vocsc+zstd,False,True,33
GSE130756,Homo sapiens,Homo; Homo sapiens,dropseq,115818,3338,38606,245826,0.000636,True,1267384,1979964,1.562,41.245,vocsc+zstd,False,True,4
GSE130879,Mus musculus,,,171540,88821,57180,90173131,0.005918,True,79345501,721740336,9.096,7.039,vocsc+zstd,False,True,87
GSE130881,Homo sapiens,,,115818,279,38606,2335989,0.072292,True,2631173,18689032,7.103,9.011,vocsc+zstd,False,True,1
GSE130896,Mus musculus,Mus musculus,10xv2,171540,4172,57180,10312212,0.014409,True,8999061,82514388,9.169,6.981,vocsc+zstd,False,True,5
GSE130919,Mus musculus,Mus musculus,10xv2,171540,5721,57180,12125450,0.012356,True,10638293,97026488,9.12,7.019,vocsc+zstd,False,True,6
GSE130931,Homo sapiens,Homo sapiens,10xv3,115818,115410,38606,8748558,0.000655,True,9431662,70450108,7.47,8.625,vocsc+zstd,False,True,113
GSE130973,Homo sapiens,Homo sapiens,10xv2,115818,25940,38606,38216011,0.01272,True,34026429,305831852,8.988,7.123,vocsc+zstd,False,True,26
GSE131059,Mus musculus,Mus musculus,10xv2,171540,14261,57180,17080386,0.006982,True,16123942,136700136,8.478,7.552,vocsc+zstd,False,True,14
GSE131109,Mus musculus,Mus musculus,10xv2,171540,35877,57180,34601319,0.005622,True,29889327,276954064,9.266,6.911,vocsc+zstd,False,True,36
GSE131155,Unknown,,,51459,228826,51459,258117226,0.02192,True,212432111,2065853116,9.725,6.584,vocsc+zstd,False,True,224
GSE131181,Mus musculus,Mus musculus,10xv2,171540,101420,57180,406089751,0.023342,True,300576247,3249123692,10.81,5.921,vocsc+zstd,False,True,100
GSE131450,Mus musculus,,,171540,12002,57180,6226546,0.003024,True,7777003,49860380,6.411,9.992,vocsc+zstd,False,True,12
GSE131734,Mus musculus,Mus musculus,10x_suspect,171540,2990,57180,15556882,0.030331,True,12716957,124467020,9.787,6.54,vocsc+zstd,False,True,3
GSE131736,Homo sapiens,Homo sapiens,10xv2,115818,66151,38606,293397721,0.038295,True,215847110,2347446376,10.876,5.885,vocsc+zstd,False,True,65
GSE131799,Mus musculus,,,171540,1092573,57180,74846882,0.000399,True,115898962,603145352,5.204,12.388,vocsc+zstd,False,True,1067
GSE131834,Mus musculus,Mus musculus,10x_suspect,171540,33040,57180,78586056,0.013866,True,62571419,628820612,10.05,6.37,vocsc+zstd,False,True,33
GSE131847,Mus musculus,Mus musculus,10x_suspect,171540,1148496,57180,121031741,0.000614,True,122081395,972847916,7.969,8.069,vocsc+zstd,False,True,1122
GSE131957,Mus musculus,Mus musculus,10xv3,171540,412331,57180,32159564,0.000455,True,34407821,258925840,7.525,8.559,vocsc+zstd,False,True,403
GSE132023,Homo sapiens,,,115818,66342,38606,382832117,0.049825,True,266396101,3062922308,11.498,5.567,vocsc+zstd,False,True,65
GSE132026,Homo sapiens,Homo sapiens,unknown,115818,878761,38606,326096808,0.003204,True,258565531,2612289512,10.103,6.343,vocsc+zstd,False,True,859
GSE132067,Mus musculus,,,171540,4783,57180,10119726,0.012334,True,9527929,80976944,8.499,7.532,vocsc+zstd,False,True,5
GSE132092,Mus musculus,Mus musculus,10xv3,171540,20677,57180,103442611,0.029164,True,77601862,827623600,10.665,6.002,vocsc+zstd,False,True,21
GSE132144,Mus musculus,,,171540,39544,57180,103477733,0.015255,True,80363218,827980044,10.303,6.213,vocsc+zstd,False,True,39
GSE132188,Mus musculus,Mus musculus,10xv2,171540,1015974,57180,212661552,0.00122,True,176837834,1705356316,9.644,6.652,vocsc+zstd,False,True,993
GSE132274,Drosophila melanogaster,Drosophila melanogaster,10xv2,72834,4965,24278,5730031,0.015845,True,4662516,45860112,9.836,6.51,vocsc+zstd,False,True,5
GSE132338,Homo sapiens,Homo sapiens,10xv3,115818,255428,38606,25211198,0.000852,True,32298111,202711300,6.276,10.249,vocsc+zstd,False,True,250
GSE132462,Mus musculus,Mus musculus,10xv2,171540,15572,57180,90471060,0.033869,True,64138771,723830772,11.285,5.672,vocsc+zstd,False,True,16
GSE132533,Mus musculus,Mus musculus,10xv3,171540,409348,57180,11066761,0.000158,True,16679273,90171484,5.406,12.057,vocsc+zstd,False,True,400
GSE132543,Mus musculus,Mus musculus,10x_suspect,171540,2424,57180,5670999,0.013638,True,6449451,45377692,7.036,9.098,vocsc+zstd,False,True,3
GSE132544,Mus musculus,Mus musculus,10x_suspect,171540,17107,57180,37557243,0.012798,True,30407708,300526376,9.883,6.477,vocsc+zstd,False,True,17
GSE132662,Mus musculus,Mus musculus,10x_suspect,171540,427620,57180,176119975,0.002401,True,155845535,1410670284,9.052,7.079,vocsc+zstd,False,True,418
GSE132950,Homo sapiens,Homo sapiens,10xv3_5prime,115818,3725,38606,1553208,0.0036,True,2471690,12440568,5.033,12.731,vocsc+zstd,False,True,4
GSE133028,Homo sapiens,Homo sapiens,unknown,115818,209961,38606,164977205,0.006784,True,153385077,1320657488,8.61,7.438,vocsc+zstd,False,True,206
GSE133080,Mus musculus,Mus musculus,10xv2,171540,833704,57180,58159133,0.000407,True,63619338,468607884,7.366,8.751,vocsc+zstd,False,True,815
GSE133283,Mus musculus,Mus musculus,10xv2,171540,52790,57180,88905478,0.009818,True,74796247,711454988,9.512,6.73,vocsc+zstd,False,True,52
GSE133433,Homo sapiens,Homo sapiens,10xv2,115818,29107,38606,24423444,0.007245,True,20650644,195503984,9.467,6.764,vocsc+zstd,False,True,29
GSE133466,Danio rerio,Danio rerio,10xv3,97560,12559,32520,20470587,0.016707,True,19037669,163814936,8.605,7.44,vocsc+zstd,False,True,13
GSE133531,Mus musculus,Mus musculus,10xv2,171540,94777,57180,233032801,0.014333,True,182468367,1864641520,10.219,6.264,vocsc+zstd,False,True,93
GSE133669,Homo sapiens,Homo sapiens,10xv3,115818,2491,38606,25701383,0.089085,True,18146944,205621032,11.331,5.649,vocsc+zstd,False,True,3
GSE133773,Mus musculus,Mus musculus,10xv2,171540,2195,57180,4846249,0.012871,True,5400458,38778776,7.181,8.915,vocsc+zstd,False,True,3
GSE133894,Homo sapiens,Homo sapiens,dropseq,115818,26075,38606,11748161,0.00389,True,13208820,94089592,7.123,8.995,vocsc+zstd,False,True,26
GSE134003,Mus musculus,,,171540,386594,57180,49729587,0.00075,True,64099139,399383076,6.231,10.312,vocsc+zstd,False,True,378
GSE134064,Mus musculus,Mus musculus,10xv2,171540,4329,57180,16734961,0.022536,True,13287903,133897008,10.077,6.352,vocsc+zstd,False,True,5
GSE134134,Mus musculus,Mus musculus,10xv3,171540,225593,57180,50426719,0.001303,True,53393370,404316128,7.572,8.471,vocsc+zstd,False,True,221
GSE134144,Homo sapiens,Homo sapiens,10xv2,115818,155677,38606,94293821,0.00523,True,87940940,754973280,8.585,7.461,vocsc+zstd,False,True,153
GSE134174,Homo sapiens,Homo sapiens,10x_suspect,115818,651718,38606,137942553,0.001828,True,123945758,1106147300,8.924,7.188,vocsc+zstd,False,True,637
