gse_id,species,catalog_species,protocol,nrows,ncols,n_genes,nnz,density,is_usa,pz_bytes,raw_int32_bytes,ratio,bits_per_nz,codec,has_transpose,has_obs_var,num_chunks
GSE181955,Homo sapiens,Homo sapiens,10x_suspect,115818,47019,38606,202255435,0.037141,True,161626217,1618231560,10.012,6.393,vocsc+zstd,False,True,46
GSE181957,Homo sapiens,Homo sapiens,10xv2,115818,2891,38606,6753720,0.020171,True,6564532,54041328,8.232,7.776,vocsc+zstd,False,True,3
GSE181984,Homo sapiens,Homo sapiens,10xv3,115818,26251,38606,235354959,0.077411,True,172578961,1882944680,10.911,5.866,vocsc+zstd,False,True,26
GSE182002,Mus musculus,Mus musculus,10xv3,171540,21785,57180,77202827,0.020659,True,64338609,617709760,9.601,6.667,vocsc+zstd,False,True,22
GSE182005,Mus musculus,,,171540,23876,57180,46325985,0.011311,True,35882101,370703388,10.331,6.196,vocsc+zstd,False,True,24
GSE182047,Mus musculus,,,171540,5120,57180,23405585,0.026649,True,18726505,187265164,10.0,6.401,vocsc+zstd,False,True,5
GSE182123,Homo sapiens,Homo sapiens,10xv3,115818,58577,38606,237166074,0.034958,True,186076329,1897562904,10.198,6.277,vocsc+zstd,False,True,58
GSE182135,Mus musculus,Mus musculus,10xv2,171540,58837,57180,237377393,0.023519,True,167788428,1899254496,11.319,5.655,vocsc+zstd,False,True,58
GSE182136,Mus musculus,Mus musculus,10xv3,171540,29039,57180,141840465,0.028474,True,97839064,1134839880,11.599,5.518,vocsc+zstd,False,True,29
GSE182141,Mus musculus,,,171540,21883,57180,68887350,0.018351,True,53060378,551186336,10.388,6.162,vocsc+zstd,False,True,22
GSE182202,Mus musculus,Mus musculus,10x_multiome,171540,26195,57180,68193581,0.015176,True,53152282,545653432,10.266,6.235,vocsc+zstd,False,True,26
GSE182208,Homo sapiens,Homo sapiens,10xv3,115818,2063,38606,2500217,0.010464,True,3000577,20009992,6.669,9.601,vocsc+zstd,False,True,3
GSE182227,Homo sapiens,Homo sapiens,10xv3_5prime,115818,113664,38606,304803039,0.023154,True,249287503,2438878972,9.783,6.543,vocsc+zstd,False,True,111
GSE182236,Mus musculus,Mus musculus,10xv3,171540,219213,57180,101094874,0.002688,True,98377374,809635848,8.23,7.785,vocsc+zstd,False,True,215
GSE182244,Homo sapiens,Homo sapiens,10x_suspect,115818,82692,38606,61084344,0.006378,True,53738669,489005524,9.1,7.038,vocsc+zstd,False,True,81
GSE182270,Homo sapiens,Homo sapiens,unknown,115818,52737,38606,55426375,0.009075,True,49753509,443621952,8.916,7.181,vocsc+zstd,False,True,52
GSE182275,Mus musculus,Mus musculus,10xv3,171540,32664,57180,73813224,0.013173,True,57417546,590636452,10.287,6.223,vocsc+zstd,False,True,32
GSE182308,Homo sapiens,Homo sapiens,10xv3,115818,101421,38606,318102706,0.027081,True,229792504,2545227336,11.076,5.779,vocsc+zstd,False,True,100
GSE182320,Mus musculus,Mus musculus,10xv3,171540,45342,57180,36311879,0.004669,True,32335275,290676404,8.989,7.124,vocsc+zstd,False,True,45
GSE182396,Mus musculus,Mus musculus,10xv3,171540,210756,57180,71701557,0.001983,True,67878708,574455484,8.463,7.573,vocsc+zstd,False,True,206
GSE182422,Rattus norvegicus,Rattus norvegicus,10x_suspect,91686,749461,30562,103560978,0.001507,True,95695170,831485672,8.689,7.392,vocsc+zstd,False,True,732
GSE182505,Drosophila melanogaster,Drosophila melanogaster,10xv2,72834,191347,24278,37040653,0.002658,True,34072666,297090616,8.719,7.359,vocsc+zstd,False,True,187
GSE182636,Mus musculus,Mus musculus,10x_suspect,171540,23630,57180,67336073,0.016612,True,50008094,538783108,10.774,5.941,vocsc+zstd,False,True,24
GSE182694,Homo sapiens,Homo sapiens,10xv3,115818,9541,38606,58421834,0.05287,True,49144377,467412840,9.511,6.73,vocsc+zstd,False,True,10
GSE182786,Homo sapiens,Homo sapiens,10xv3,115818,115223,38606,246167762,0.018447,True,213665620,1969802992,9.219,6.944,vocsc+zstd,False,True,113
GSE182790,Homo sapiens,Homo sapiens,10xv3,115818,11235,38606,33354055,0.025633,True,25526255,266877384,10.455,6.122,vocsc+zstd,False,True,11
GSE182846,Mus musculus,Mus musculus,10xv3,171540,23175,57180,98128013,0.024684,True,76213722,785116808,10.302,6.213,vocsc+zstd,False,True,23
GSE182939,Mus musculus,Mus musculus,10x_suspect,171540,15900,57180,32317841,0.011849,True,25510036,258606332,10.137,6.315,vocsc+zstd,False,True,16
GSE182988,Homo sapiens,,,115818,9956,38606,12841134,0.011136,True,11160368,102768900,9.208,6.953,vocsc+zstd,False,True,10
GSE183217,Homo sapiens,Homo sapiens,10xv3,115818,1715501,38606,640621603,0.003224,True,526843412,5131834832,9.741,6.579,vocsc+zstd,False,True,1676
GSE183248,Homo sapiens,Homo sapiens,dropseq,115818,59365,38606,52830808,0.007684,True,43224228,422883928,9.783,6.545,vocsc+zstd,False,True,58
GSE183249,Mus musculus,Mus musculus,10xv3,171540,19017,57180,32908137,0.010088,True,28602090,263341168,9.207,6.953,vocsc+zstd,False,True,19
GSE183253,Mus musculus,Mus musculus,10xv2,171540,3898,57180,9666384,0.014456,True,8771018,77346668,8.818,7.259,vocsc+zstd,False,True,4
GSE183255,Mus musculus,Mus musculus,10xv3,171540,34412,57180,193429233,0.032768,True,130262739,1547571516,11.88,5.388,vocsc+zstd,False,True,34
GSE183279,Homo sapiens,Homo sapiens,slideseq,115818,16981,38606,6480647,0.003295,True,7435365,51913104,6.982,9.179,vocsc+zstd,False,True,17
GSE183285,Unknown,Bos taurus,10xv3,108225,28321,36075,123485627,0.040288,True,90644541,987998304,10.9,5.872,vocsc+zstd,False,True,28
GSE183320,Homo sapiens,Homo sapiens,10x_suspect,115818,131103,38606,142713387,0.009399,True,122366422,1142231512,9.335,6.859,vocsc+zstd,False,True,129
GSE183326,Homo sapiens,Homo sapiens,10xv3,115818,7486,38606,31626602,0.036478,True,24993318,253042764,10.124,6.322,vocsc+zstd,False,True,8
GSE183368,Mus musculus,Mus musculus,10xv3,171540,16259,57180,25326300,0.009081,True,21422794,202675440,9.461,6.767,vocsc+zstd,False,True,16
GSE183438,Mus musculus,Mus musculus,10xv3,171540,8689,57180,32527864,0.021823,True,26317060,260257672,9.889,6.472,vocsc+zstd,False,True,9
GSE183456,Homo sapiens,Homo sapiens,10x_suspect,115818,19397,38606,31444933,0.013997,True,25562643,251637056,9.844,6.503,vocsc+zstd,False,True,19
GSE183716,Homo sapiens,Homo sapiens,10xv3,115818,12893,38606,27844792,0.018647,True,23465614,222809912,9.495,6.742,vocsc+zstd,False,True,13
GSE183868,Danio rerio,Danio rerio,10xv3,97560,10046,32520,44500343,0.045404,True,35819584,356042932,9.94,6.439,vocsc+zstd,False,True,10
GSE183885,Mus musculus,,,171540,89984,57180,197116979,0.01277,True,161746607,1577295772,9.752,6.564,vocsc+zstd,False,True,88
GSE183940,Mus musculus,Mus musculus,10xv3_5prime,171540,2989,57180,2300456,0.004487,True,3582385,18415608,5.141,12.458,vocsc+zstd,False,True,3
GSE184073,Homo sapiens,Homo sapiens,10xv3,115818,2291,38606,8727374,0.032891,True,8112231,69828160,8.608,7.436,vocsc+zstd,False,True,3
GSE184096,Mus musculus,Mus musculus,10xv2,171540,5395,57180,16855092,0.018213,True,14200784,134862320,9.497,6.74,vocsc+zstd,False,True,6
GSE184108,Mus musculus,Mus musculus,10xv2,171540,3543,57180,17747363,0.029201,True,15212564,141993080,9.334,6.857,vocsc+zstd,False,True,4
GSE184117,Homo sapiens,Homo sapiens,10xv3,115818,124432,38606,369777309,0.025659,True,297131580,2958716204,9.958,6.428,vocsc+zstd,False,True,122
GSE184181,Mus musculus,Mus musculus,10xv3,171540,3154,57180,12767058,0.023597,True,11665007,102149084,8.757,7.309,vocsc+zstd,False,True,4
GSE184198,Homo sapiens,Homo sapiens,10x_suspect,115818,11985,38606,9008187,0.00649,True,9170466,72113440,7.864,8.144,vocsc+zstd,False,True,12
GSE184257,Homo sapiens,Homo sapiens,10xv3,115818,11820,38606,26659669,0.019474,True,24137337,213324636,8.838,7.243,vocsc+zstd,False,True,12
GSE184290,Mus musculus,Mus musculus,10xv3,171540,6549,57180,35978990,0.032026,True,28498026,287858120,10.101,6.337,vocsc+zstd,False,True,7
GSE184330,Homo sapiens,Homo sapiens,10x_suspect,115818,146982,38606,34356559,0.002018,True,37848418,275440404,7.277,8.813,vocsc+zstd,False,True,144
GSE184360,Mus musculus,Mus musculus,10xv2,171540,5642,57180,6655370,0.006877,True,7129727,53265532,7.471,8.57,vocsc+zstd,False,True,6
GSE184384,Mus musculus,Mus musculus,10xv3,171540,37,57180,26109,0.004114,True,1578932,209024,0.132,483.797,vocsc+zstd,False,True,1
GSE184388,Mus musculus,Mus musculus,seqwell,171540,102963,57180,193852053,0.010975,True,166507782,1551228280,9.316,6.872,vocsc+zstd,False,True,101
GSE184403,Danio rerio,Danio rerio,10x_suspect,97560,5128,32520,4881509,0.009757,True,5230228,39072588,7.471,8.571,vocsc+zstd,False,True,6
GSE184406,Mus musculus,Mus musculus,10xv3,171540,72995,57180,27193169,0.002172,True,27580962,217837336,7.898,8.114,vocsc+zstd,False,True,72
GSE184409,Homo sapiens,Homo sapiens,10xv3,115818,11395,38606,7688174,0.005825,True,8029003,61550976,7.666,8.355,vocsc+zstd,False,True,12
GSE184476,Mus musculus,Mus musculus,10x_suspect,171540,14189,57180,21613920,0.00888,True,18674744,172968120,9.262,6.912,vocsc+zstd,False,True,14
GSE184483,Mus musculus,Mus musculus,10xv3,171540,77688,57180,318079238,0.023868,True,225771932,2544944660,11.272,5.678,vocsc+zstd,False,True,76
GSE184510,Homo sapiens,Homo sapiens,10x_suspect,115818,25585,38606,39224391,0.013237,True,31475396,313897472,9.973,6.42,vocsc+zstd,False,True,25
GSE184526,Homo sapiens,Homo sapiens,10x_suspect,115818,5999,38606,20236205,0.029126,True,15375681,161913640,10.531,6.078,vocsc+zstd,False,True,6
GSE184538,Unknown,Lytechinus variegatus,10xv3,80442,83263,80442,9912069,0.00148,True,12235231,79629608,6.508,9.875,vocsc+zstd,False,True,82
GSE184544,Mus musculus,Mus musculus,10xv3,171540,18830,57180,51104104,0.015821,True,39532726,408908156,10.344,6.189,vocsc+zstd,False,True,19
GSE184569,Homo sapiens,,,115818,6882,38606,27670685,0.034716,True,20683585,221393012,10.704,5.98,vocsc+zstd,False,True,7
GSE184652,Mus musculus,Mus musculus,10x_suspect,171540,5061477,57180,4805660518,0.005535,True,4171212556,38465530056,9.222,6.944,vocsc+zstd,False,True,4943
GSE184766,Mus musculus,Mus musculus,10x_suspect,171540,11041,57180,44682852,0.023592,True,36155712,357506984,9.888,6.473,vocsc+zstd,False,True,11
GSE184899,Homo sapiens,Homo sapiens,10x_suspect,115818,84065,38606,32335701,0.003321,True,29616259,259021872,8.746,7.327,vocsc+zstd,False,True,83
GSE184921,Mus musculus,,,171540,110738,57180,282486368,0.014871,True,205542098,2260333900,10.997,5.821,vocsc+zstd,False,True,109
GSE184947,Mus musculus,Mus musculus,10xv3,171540,13388,57180,30764817,0.013396,True,23545421,246172092,10.455,6.123,vocsc+zstd,False,True,14
GSE185001,Mus musculus,Mus musculus,10x_suspect,171540,30667,57180,58421071,0.011105,True,45413364,467491240,10.294,6.219,vocsc+zstd,False,True,30
GSE185022,Homo sapiens,Homo sapiens,10x_suspect,115818,121704,38606,110284750,0.007824,True,101122561,882764820,8.73,7.335,vocsc+zstd,False,True,119
GSE185042,Mus musculus,Mus musculus,10x_suspect,171540,1034340,57180,178171226,0.001004,True,165708549,1429507172,8.627,7.44,vocsc+zstd,False,True,1011
GSE185043,Mus musculus,Mus musculus,10xv3,171540,290,57180,1655485,0.033278,True,2739076,13245044,4.836,13.236,vocsc+zstd,False,True,1
GSE185044,Mus musculus,Mus musculus,10xv3,171540,1203,57180,12541133,0.060772,True,10153996,100333880,9.881,6.477,vocsc+zstd,False,True,2
GSE185060,Mus musculus,Mus musculus,unknown,171540,12327,57180,26995530,0.012766,True,23144806,216013552,9.333,6.859,vocsc+zstd,False,True,13
GSE185157,Homo sapiens,Homo sapiens,10xv2,115818,64446,38606,21957409,0.002942,True,23362038,175917060,7.53,8.512,vocsc+zstd,False,True,63
GSE185197,Mus musculus,Mus musculus,10x_suspect,171540,13353,57180,2899426,0.001266,True,4503220,23248824,5.163,12.425,vocsc+zstd,False,True,14
GSE185199,Homo sapiens,Homo sapiens,10xv3,115818,45353,38606,111347604,0.021198,True,86400284,890962248,10.312,6.208,vocsc+zstd,False,True,45
GSE185265,Mus musculus,Mus musculus,10xv3,171540,31537,57180,138621041,0.025624,True,107435051,1109094480,10.323,6.2,vocsc+zstd,False,True,31
GSE185277,Homo sapiens,Homo sapiens,dropseq,115818,145187,38606,36631056,0.002178,True,40206228,293629200,7.303,8.781,vocsc+zstd,False,True,142
GSE185330,Homo sapiens,Homo sapiens; Mus musculus,unknown,115818,10127,38606,59665967,0.050871,True,44276757,477368248,10.781,5.937,vocsc+zstd,False,True,10
GSE185342,Mus musculus,Mus musculus,10xv3,171540,24690,57180,40663026,0.009601,True,32687266,325402972,9.955,6.431,vocsc+zstd,False,True,25
GSE185346,Mus musculus,Mus musculus,10xv3,171540,35803,57180,110694000,0.018024,True,87507567,885695216,10.121,6.324,vocsc+zstd,False,True,35
GSE185369,Drosophila melanogaster,Drosophila melanogaster,10x_suspect,72834,14114,24278,27341548,0.026597,True,20510264,218788844,10.667,6.001,vocsc+zstd,False,True,14
GSE185500,Mus musculus,Mus musculus,10x_suspect,171540,3272,57180,6801160,0.012117,True,7026840,54422372,7.745,8.265,vocsc+zstd,False,True,4
GSE185545,Mus musculus,Mus musculus,10xv3,171540,89060,57180,27162414,0.001778,True,26422271,217655556,8.238,7.782,vocsc+zstd,False,True,87
GSE185638,Mus musculus,Mus musculus,dropseq,171540,4180,57180,3096717,0.004319,True,4546496,24790460,5.453,11.745,vocsc+zstd,False,True,5
GSE185684,Mus musculus,,,171540,30265,57180,93564665,0.018022,True,69969498,748638384,10.699,5.983,vocsc+zstd,False,True,30
GSE185688,Homo sapiens,Homo sapiens,10xv3,115818,7384,38606,13818860,0.016159,True,11606077,110580420,9.528,6.719,vocsc+zstd,False,True,8
GSE185696,Mus musculus,Mus musculus,10x_suspect,171540,9925,57180,23102383,0.013569,True,19603736,184858768,9.43,6.788,vocsc+zstd,False,True,10
GSE185720,Mus musculus,Mus musculus; Heterocephalus glaber,10xv3,171540,24560,57180,81693404,0.019391,True,64647202,653645476,10.111,6.331,vocsc+zstd,False,True,24
GSE185721,Mus musculus,Mus musculus; Heterocephalus glaber,10xv3,171540,28980,57180,83420325,0.016781,True,63532592,667478524,10.506,6.093,vocsc+zstd,False,True,29
GSE185756,Mus musculus,Mus musculus,10xv3,171540,19332,57180,50667315,0.015279,True,41738828,405415852,9.713,6.59,vocsc+zstd,False,True,19
GSE185890,Mus musculus,Mus musculus,10xv3,171540,15427,57180,106931144,0.040407,True,77267091,855510864,11.072,5.781,vocsc+zstd,False,True,16
GSE185995,Homo sapiens,Homo sapiens,10xv3,115818,74177,38606,135078057,0.015723,True,102484096,1080921168,10.547,6.07,vocsc+zstd,False,True,73
GSE186017,Homo sapiens,Homo sapiens,10xv3,115818,29697,38606,87613672,0.025473,True,65750631,701028168,10.662,6.004,vocsc+zstd,False,True,30
GSE186027,Homo sapiens,Homo sapiens; Mus musculus,10xv2,115818,26736,38606,86388303,0.027899,True,66242234,691213372,10.435,6.134,vocsc+zstd,False,True,27
GSE186125,Homo sapiens,Homo sapiens,10xv3,115818,18810,38606,241389666,0.110804,True,166992994,1931192572,11.565,5.534,vocsc+zstd,False,True,19
GSE186312,Mus musculus,Mus musculus,10x_suspect,171540,20419,57180,80842506,0.02308,True,57903934,646821728,11.171,5.73,vocsc+zstd,False,True,20
GSE186355,Mus musculus,Mus musculus,10xv2,171540,20361,57180,31978883,0.009156,True,26825878,255912512,9.54,6.711,vocsc+zstd,False,True,20
GSE186356,Homo sapiens,Homo sapiens,10xv3,115818,140928,38606,580762557,0.035582,True,426432154,4646664172,10.897,5.874,vocsc+zstd,False,True,138
GSE186360,Mus musculus,Mus musculus,10x_suspect,171540,19062,57180,7611846,0.002328,True,10549500,60971020,5.78,11.087,vocsc+zstd,False,True,19
GSE186403,Homo sapiens,Homo sapiens,10xv3,115818,8563,38606,19160109,0.01932,True,15143975,153315128,10.124,6.323,vocsc+zstd,False,True,9
GSE186419,Mus musculus,Mus musculus,10xv2,171540,6404,57180,24742591,0.022523,True,21246367,197966348,9.318,6.87,vocsc+zstd,False,True,7
GSE186467,Mus musculus,Mus musculus,10x_suspect,171540,9093,57180,9607852,0.00616,True,9806785,76899192,7.841,8.166,vocsc+zstd,False,True,9
GSE186479,Unknown,Sus scrofa,10xv3,107010,139943,35670,288440634,0.019261,True,227019688,2308084848,10.167,6.296,vocsc+zstd,False,True,137
GSE186498,Mus musculus,Mus musculus,10xv3,171540,3155,57180,15596927,0.028819,True,12985786,124788040,9.61,6.661,vocsc+zstd,False,True,4
GSE186520,Homo sapiens,Homo sapiens,bd_rhapsody,115818,2698,38606,1136871,0.003638,True,2231857,9105764,4.08,15.705,vocsc+zstd,False,True,3
GSE186525,Mus musculus,Mus musculus,10x_suspect,171540,71370,57180,476727603,0.038939,True,341034196,3814106308,11.184,5.723,vocsc+zstd,False,True,70
GSE186529,Mus musculus,Mus musculus,10xv3,171540,396421,57180,365324324,0.005372,True,309160339,2924180280,9.458,6.77,vocsc+zstd,False,True,388
GSE186554,Mus musculus,Mus musculus,10x_suspect,171540,152097,57180,275547964,0.010561,True,212371414,2204992104,10.383,6.166,vocsc+zstd,False,True,149
GSE186558,Mus musculus,Mus musculus,10x_suspect,171540,72962,57180,155695170,0.01244,True,126024549,1245853212,9.886,6.475,vocsc+zstd,False,True,72
GSE186590,Homo sapiens,Homo sapiens,10x_suspect,115818,12173,38606,73247023,0.051954,True,51290331,586024880,11.426,5.602,vocsc+zstd,False,True,12
GSE186787,Mus musculus,,,171540,1141,57180,7012183,0.035826,True,6442503,56102032,8.708,7.35,vocsc+zstd,False,True,2
GSE186910,Mus musculus,Mus musculus,10x_suspect,171540,57112,57180,184636732,0.018846,True,149537776,1477322308,9.879,6.479,vocsc+zstd,False,True,56
GSE186913,Mus musculus,,,171540,8264,57180,63594517,0.04486,True,47630195,508789196,10.682,5.992,vocsc+zstd,False,True,9
GSE186960,Homo sapiens,,,115818,254157,38606,244063572,0.008291,True,187561067,1953525208,10.415,6.148,vocsc+zstd,False,True,249
GSE186975,Homo sapiens,,,115818,376685,38606,474311309,0.010872,True,414655359,3795997216,9.155,6.994,vocsc+zstd,False,True,368
GSE187438,Homo sapiens,Homo sapiens,10xv3,115818,102151,38606,70115087,0.005926,True,64417342,561329304,8.714,7.35,vocsc+zstd,False,True,100
GSE187496,Mus musculus,Mus musculus,10xv3,171540,12439,57180,49892458,0.023382,True,39853006,399189424,10.017,6.39,vocsc+zstd,False,True,13
GSE187515,Homo sapiens,Homo sapiens,10xv3_5prime,115818,86452,38606,12808739,0.001279,True,15528443,102815724,6.621,9.699,vocsc+zstd,False,True,85
GSE188202,Mus musculus,Mus musculus,10xv3,171540,242591,57180,372224491,0.008945,True,295808154,2978766296,10.07,6.358,vocsc+zstd,False,True,237
GSE188215,Homo sapiens,Homo sapiens,10xv3,115818,35132,38606,202673537,0.04981,True,147619127,1621528828,10.985,5.827,vocsc+zstd,False,True,35
GSE188257,Mus musculus,Mus musculus,10xv3,171540,8113,57180,43396699,0.031182,True,30749227,347206048,11.292,5.668,vocsc+zstd,False,True,8
GSE188272,Homo sapiens,Homo sapiens,10xv2,115818,16266,38606,117473172,0.062357,True,85227448,939850444,11.028,5.804,vocsc+zstd,False,True,16
GSE188283,Mus musculus,Mus musculus,10x_suspect,171540,25560,57180,86864077,0.019811,True,72621787,695014860,9.57,6.688,vocsc+zstd,False,True,25
GSE188284,Mus musculus,Mus musculus,10x_suspect,171540,17885,57180,7907873,0.002578,True,8983235,63334528,7.05,9.088,vocsc+zstd,False,True,18
GSE188287,Mus musculus,Mus musculus,10xv3,171540,1534,57180,13605647,0.051705,True,10631637,108851316,10.238,6.251,vocsc+zstd,False,True,2
GSE188381,Homo sapiens,Homo sapiens,bd_rhapsody,115818,270,38606,24305,0.000777,True,1002815,195524,0.195,330.077,vocsc+zstd,False,True,1
GSE188387,Mus musculus,Mus musculus,10xv2,171540,11937,57180,40875798,0.019962,True,34796099,327054136,9.399,6.81,vocsc+zstd,False,True,12
GSE188391,Mus musculus,blank sample; Homo sapiens; Mus musculus,10x_suspect,171540,99404,57180,160173760,0.009393,True,170207454,1281787700,7.531,8.501,vocsc+zstd,False,True,98
GSE188449,Homo sapiens,Homo sapiens,dropseq,115818,141350,38606,54049322,0.003302,True,60781605,432959980,7.123,8.996,vocsc+zstd,False,True,139
GSE188478,Homo sapiens,Homo sapiens,10xv3,115818,16114,38606,16431567,0.008804,True,15198688,131516996,8.653,7.4,vocsc+zstd,False,True,16
GSE188548,Mus musculus,Mus musculus,10xv2,171540,13851,57180,10437712,0.004393,True,10739038,83557104,7.781,8.231,vocsc+zstd,False,True,14
GSE188666,Mus musculus,,,171540,36249,57180,8750029,0.001407,True,10360491,70145232,6.77,9.472,vocsc+zstd,False,True,36
GSE188672,Mus musculus,Mus musculus,10xv3,171540,98904,57180,8279237,0.000488,True,13992945,66629516,4.762,13.521,vocsc+zstd,False,True,97
GSE188819,Mus musculus,Mus musculus,10xv3,171540,221726,57180,146785672,0.003859,True,127818981,1175172284,9.194,6.966,vocsc+zstd,False,True,217
GSE188823,Homo sapiens,Homo sapiens,10xv3,115818,3160,38606,35114587,0.095945,True,27189426,280929340,10.332,6.194,vocsc+zstd,False,True,4
GSE188834,Mus musculus,Mus musculus,unknown,171540,46061,57180,228321953,0.028897,True,167784923,1826759872,10.888,5.879,vocsc+zstd,False,True,45
GSE188946,Mus musculus,Mus musculus,10xv3,171540,18759,57180,3794265,0.001179,True,5825637,30429160,5.223,12.283,vocsc+zstd,False,True,19
GSE189014,Homo sapiens,Mus musculus; Homo sapiens,10xv3,115818,92324,38606,51291513,0.004797,True,45111083,410701404,9.104,7.036,vocsc+zstd,False,True,91
GSE189024,Homo sapiens,Homo sapiens,10xv3,115818,8808,38606,20713915,0.020305,True,16230474,165746556,10.212,6.268,vocsc+zstd,False,True,9
GSE189040,Homo sapiens,Homo sapiens,10x_suspect,115818,13055,38606,693942,0.000459,True,1893984,5603760,2.959,21.834,vocsc+zstd,False,True,13
GSE189042,Homo sapiens,Homo sapiens,10x_suspect,115818,4815,38606,20016693,0.035894,True,14826406,160152808,10.802,5.926,vocsc+zstd,False,True,5
GSE189051,Mus musculus,Mus musculus,10x_suspect,171540,73174,57180,225394330,0.017956,True,161772663,1803447340,11.148,5.742,vocsc+zstd,False,True,72
GSE189058,Mus musculus,Mus musculus,10x_suspect,171540,160013,57180,116519256,0.004245,True,98514495,932794104,9.469,6.764,vocsc+zstd,False,True,157
GSE189127,Mus musculus,Mus musculus,10xv3,171540,49288,57180,51969391,0.006147,True,44180773,415952284,9.415,6.801,vocsc+zstd,False,True,49
GSE189179,Homo sapiens,Homo sapiens,10xv3,115818,14805,38606,39189120,0.022855,True,28302400,313572184,11.079,5.778,vocsc+zstd,False,True,15
GSE189184,Homo sapiens,Homo sapiens,10x_suspect,115818,44155,38606,62548863,0.012231,True,50919619,500567528,9.831,6.513,vocsc+zstd,False,True,44
GSE189217,Mus musculus,Mus musculus,10xv3,171540,40489,57180,178368155,0.025681,True,131698556,1427107200,10.836,5.907,vocsc+zstd,False,True,40
GSE189243,Mus musculus,Mus musculus,10xv3,171540,10705,57180,70132923,0.038192,True,50422839,561106208,11.128,5.752,vocsc+zstd,False,True,11
GSE189287,Mus musculus,Mus musculus,unknown,171540,208271,57180,153251467,0.00429,True,131967293,1226844824,9.297,6.889,vocsc+zstd,False,True,204
GSE189324,Homo sapiens,Homo sapiens,10xv3,115818,2944,38606,4772719,0.013998,True,4681714,38193532,8.158,7.847,vocsc+zstd,False,True,3
GSE189381,Mus musculus,Mus musculus,10x_suspect,171540,20458,57180,66502580,0.01895,True,50483080,532102476,10.54,6.073,vocsc+zstd,False,True,20
GSE189423,Homo sapiens,Homo sapiens,10xv3,115818,3379,38606,30503087,0.077943,True,22476471,244038216,10.857,5.895,vocsc+zstd,False,True,4
GSE189476,Mus musculus,Mus musculus,10xv3,171540,30345,57180,86640203,0.016644,True,66471458,693243008,10.429,6.138,vocsc+zstd,False,True,30
GSE189481,Homo sapiens,Homo sapiens,bd_rhapsody,115818,14632,38606,5592126,0.0033,True,6492046,44795540,6.9,9.287,vocsc+zstd,False,True,15
GSE189483,Homo sapiens,Homo sapiens,10xv3,115818,6005,38606,17194552,0.024723,True,14876091,137580440,9.248,6.921,vocsc+zstd,False,True,6
GSE189484,Mus musculus,Mus musculus,10xv2,171540,7247,57180,10486652,0.008436,True,9960658,83922208,8.425,7.599,vocsc+zstd,False,True,8
GSE189534,Homo sapiens,,,115818,103757,38606,155992080,0.012981,True,124350068,1248351672,10.039,6.377,vocsc+zstd,False,True,102
GSE189535,Homo sapiens,Homo sapiens,10xv2,115818,1438597,38606,182657985,0.001096,True,177228052,1467018272,8.278,7.762,vocsc+zstd,False,True,1405
GSE189577,Mus musculus,Mus musculus,10xv3,171540,6175,57180,23309133,0.022005,True,18315781,186497768,10.182,6.286,vocsc+zstd,False,True,7
GSE189616,Mus musculus,,,171540,860,57180,965024,0.006541,True,2441841,7723636,3.163,20.243,vocsc+zstd,False,True,1
GSE189638,Homo sapiens,,,115818,119880,38606,152954547,0.011016,True,115508865,1224115900,10.598,6.041,vocsc+zstd,False,True,118
GSE189754,Homo sapiens,Homo sapiens,10x_suspect,115818,16403,38606,26789141,0.014101,True,23148848,214378744,9.261,6.913,vocsc+zstd,False,True,17
GSE189812,Mus musculus,Mus musculus,10x_suspect,171540,4544,57180,2088471,0.002679,True,3539097,16725948,4.726,13.557,vocsc+zstd,False,True,5
GSE189835,Mus musculus,Mus musculus,10x_suspect,171540,51149,57180,249427640,0.028428,True,179284092,1995625720,11.131,5.75,vocsc+zstd,False,True,50
GSE189856,Mus musculus,Mus musculus,10xv3,171540,34314,57180,73274400,0.012448,True,60313966,586332460,9.721,6.585,vocsc+zstd,False,True,34
GSE189887,Mus musculus,Mus musculus,10xv3,171540,10280,57180,36824130,0.020882,True,29998625,294634164,9.822,6.517,vocsc+zstd,False,True,11
GSE189981,Homo sapiens,Homo sapiens,10xv3,115818,67419,38606,128244437,0.016424,True,104455664,1026225176,9.825,6.516,vocsc+zstd,False,True,66
GSE189985,Homo sapiens,Homo sapiens,10xv3,115818,8290,38606,11231286,0.011698,True,10576035,89883452,8.499,7.533,vocsc+zstd,False,True,9
GSE190072,Mus musculus,Mus musculus,10xv3,171540,80953,57180,67897670,0.004889,True,58406287,543505176,9.306,6.882,vocsc+zstd,False,True,80
GSE190129,Homo sapiens,Homo sapiens; Mus musculus,10x_suspect,115818,48606,38606,186843653,0.03319,True,137061421,1494943652,10.907,5.868,vocsc+zstd,False,True,48
GSE190165,Macaca mulatta,Macaca mulatta,10x_suspect,106296,41262,35432,16937997,0.003862,True,16597273,135669028,8.174,7.839,vocsc+zstd,False,True,41
GSE190260,Homo sapiens,Homo sapiens,10xv3_5prime,115818,303812,38606,68719425,0.001953,True,78653992,550970652,7.005,9.157,vocsc+zstd,False,True,297
GSE190262,Mus musculus,Mus musculus,10xv3,171540,21164,57180,61050736,0.016816,True,50866902,488490548,9.603,6.666,vocsc+zstd,False,True,21
GSE190283,Mus musculus,Mus musculus,10x_suspect,171540,12276,57180,54298562,0.025785,True,44224725,434437604,9.823,6.516,vocsc+zstd,False,True,12
