name,data_type,nrows,ncols,nnz,density,val_max,val_mean,frac_val_1,frac_val_2,frac_val_3,frac_val_le3,entropy_bits,raw_bytes,pz_bytes,pz_ratio,pz_bytes_per_nnz,pz_read_s,pz_read_mbps
GSE141590,scATAC_real,72834,2623,1185793,0.006206924030559687,244,2.0915927147486957,0.7163130495794797,0.09750099722295544,0.04548011330814063,0.8592941601105758,1.7493051426412625,9486344,1373856,6.904904152982554,1.1585968208616513,0.06255982769653201,151.6363511424101
synth_atac_3k,scATAC_synth,150000,3000,1347958,0.0029954622222222223,21,1.3015472292163406,0.8487119034866072,0.0759289236014772,0.03775636926373077,0.9623971963518151,0.9145872034197717,10783664,2477156,4.353243800551923,1.837710077020204,0.03563488181680441,302.6153995806078
synth_atac_10k,scATAC_synth,200000,10000,3995888,0.001997944,22,1.2409429393416431,0.8790974621911325,0.06083754099213992,0.029994584432796914,0.9699295876160693,0.7728852915835183,31967104,6799018,4.7017236900976,1.7015036457478288,0.0600181077606976,532.6243227703592
synth_atac_50k,scATAC_synth,250000,50000,12493616,0.00099948928,21,1.2007534087809326,0.8995398129732817,0.05032498197479417,0.025085691764497965,0.9749504867125739,0.6712049691322595,99948928,21452600,4.659058948565675,1.7170849496254728,0.1335329869762063,748.4961601121788
GSE210261,scRNA,115818,4361,4575353,0.009058628698961055,7563,2.5732860393504065,0.6186838480003619,0.18337557779694813,0.06867273410379483,0.8707321599011049,2.0373466437683825,36602824,5195193,7.045517654493298,1.1354737000620498,0.1284355497919023,284.9898183120306
GSE189042,scRNA,115818,4815,20016693,0.035893844402666575,2688,3.3297580674290206,0.6205557031823389,0.17575610516682252,0.06998094040808839,0.8662927487572497,2.1270122406549308,160133544,14826406,10.800563804876246,0.7407020730147582,0.21627980563789606,740.3998885966345
GSE290932,scRNA,171540,17058,32590922,0.011137895299856398,5229,2.2666523825254163,0.6576235247348939,0.18564727932520594,0.0682715880207378,0.9115423920808378,1.73114577540895,260727376,29871720,8.728234463900973,0.9165656620576736,0.35119678173214197,742.3968258309865
GSE142483,scRNA,106296,109901,50452624,0.004318820879690892,28862,2.6003270315534035,0.7628345356229639,0.12101376530980827,0.040806559436829294,0.9246548603696014,1.453116356918963,403620992,47580192,8.482962658074184,0.9430667471329143,0.424858879763633,950.0119009506203
GSE207157,scRNA,115818,10555,73987183,0.06052324340140032,3427,3.123032796099292,0.6036657997912963,0.17950967264154388,0.07586643756932873,0.8590419100021689,2.1423877082689167,591897464,51146685,11.572547937368766,0.6912911524148716,0.42610163521021605,1389.0992549418147
GSE248138,scRNA,171540,262710,112694589,0.0025006968891483523,14300,2.1989175008216235,0.7377655461346063,0.13459803291886535,0.048118255260685146,0.9204818343141569,1.5321304516330658,901556712,100093553,9.007140669689285,0.8881841966698153,0.8900372069329023,1012.9427230427751
