gse_id,nnz,nrows,ncols,experiment,codec,level,file_bytes,raw_int32_bytes,ratio_vs_int32,ratio_vs_theory,write_median_s,read_median_s,write_mbps,read_mbps,H_value_bits,H_gap_bits,pz_default_bytes
GSE135310,1008035,171540,81855,entropy,theory,0,1687187,8064280,4.779718544859012,1.0,0,0,0,0,0.5581609021343122,13.547564644947924,3548775
GSE135310,1008035,171540,81855,entropy,value_entropy_only,0,70330,8064280,114.66227705178721,23.989336605419187,0,0,0,0,0.5581609021343122,13.547564644947924,3548775
GSE135310,1008035,171540,81855,zstd_level,zstd-1,1,2652024,8064280,3.040802044023734,1.5718611325761476,0.06852704798802733,0.051973397843539715,117.68024797170523,155.16168529670972,0.5581609021343122,13.547564644947924,3548775
GSE135310,1008035,171540,81855,zstd_level,zstd-2,2,2646937,8064280,3.046645991196617,1.5688460551932073,0.0688055045902729,0.05184125807136297,117.20399476788452,155.5571816736966,0.5581609021343122,13.547564644947924,3548775
GSE135310,1008035,171540,81855,zstd_level,zstd-3,3,2640128,8064280,3.0545034180160964,1.564810344184668,0.06900195637717843,0.0519661633297801,116.87030953034201,155.18328626309471,0.5581609021343122,13.547564644947924,3548775
GSE135310,1008035,171540,81855,zstd_level,zstd-4,4,2646027,8064280,3.0476937688088594,1.568306695960167,0.0908655971288681,0.05178125388920307,88.74954058314299,155.7374415315479,0.5581609021343122,13.547564644947924,3548775
GSE135310,1008035,171540,81855,zstd_level,zstd-5,5,2640001,8064280,3.0546503580869855,1.5647350709730237,0.07165460474789143,0.05172978434711695,112.54377898494104,155.89239548897223,0.5581609021343122,13.547564644947924,3548775
GSE135310,1008035,171540,81855,zstd_level,zstd-6,6,2627725,8064280,3.0689208345622165,1.5574590556490655,0.07285163598135114,0.051996510941535234,110.69456287933366,155.09271399128028,0.5581609021343122,13.547564644947924,3548775
GSE135310,1008035,171540,81855,zstd_level,zstd-7,7,2625230,8064280,3.0718375151891455,1.555980263026609,0.07678348990157247,0.05207039788365364,105.02622387101019,154.87264026710278,0.5581609021343122,13.547564644947924,3548775
GSE135310,1008035,171540,81855,zstd_level,zstd-8,8,2622092,8064280,3.0755137500896232,1.5541203627263012,0.09774035587906837,0.060134696308523417,82.50716837963763,134.10361230770826,0.5581609021343122,13.547564644947924,3548775
