bioproject_id	phs_accession	organism	name	protocols_inferred	disease_categories	sra_run_count	description
764786		Homo sapiens	Multi-omic Investigation of Beckwith-Wiedemann Syndrome Hepatoblasto	snRNA	cancer|developmental|liver|normal	95	Hepatoblastoma (HB) is the most common malignant liver tumor diagnosed in children under 5 years of age. One of the most common HB predisposition syndromes is Beckwith-Wiedemann Syndrome (BWS, OMIM 13
615002		Homo sapiens	CLL relapse after allo-HSCT		cancer	83	We investigated the molecular dynamics driving relapse of chronic lymphocytic leukemia (CLL) following allogeneic hematopoietic stem cell transplant (allo-HSCT) through an integrated analysis of whole
560989		Homo sapiens	SINGLE CELL ANALYSIS OF THE HUMAN PLACENTA		infectious|developmental|normal	76	Pregnancy and parturition is a complex physiological process requiring a well-orchestrated dialogue between the mother and fetus. The samples collected in this study aim to elucidate using single cell
961895		Homo sapiens	Spatiotemporal charting of human esophageal development for epidermolysis bullosa cell therapy		neurological|developmental|normal	66	Human fetal esophageal development is not well understood. We present a spatio-temporal single-cell multi-omics atlas to close such a long-standing knowledge gap. With such an atlas, we describe the c
1148225		Homo sapiens	Single-cell analysis of the multiple myeloma microenvironment after g-secretase inhibition and CAR T-cell therapy	atac	cancer|neurological	64	We examined the effects of gamma-secretase inhibition (GSI) on the bone marrow microenvironment in multiple myeloma patients before anti-B-cell maturation antigen (BCMA) CAR T-cell therapy. Single-nuc
671265		Homo sapiens	Single Cell Genomic Analysis of Lymphoma	scRNA	cancer|neurological	62	Our studies aimed to define the extent of heterogeneity between anatomically separated tumor manifestations and to identify treatment-induced changes in patients with indolent lymphoma, mainly follicu
681646		Homo sapiens	Interdependencies of Intratumoral Genetic Heterogeneity and the Immune Microenvironment in Chronic Lymphocytic Leukemia	scRNA	cancer	57	Tumor microenvironment (TME) and somatic mutations drive progression of chronic lymphocytic leukemia (CLL). Integrated bulk and single-cell RNA sequencing (RNA-seq) of paired peripheral blood (PB) and
1213888		Homo sapiens	Response​ to Tagraxofusp in Blastic Plasmacytoid Dendritic Cell Neoplasm	scRNA		53	Tagraxofusp is a CD123-targeted therapy comprised of a recombinant human interleukin-3 (IL-3) fused to a truncated diphtheria toxin (DT) payload. It is the first approved treatment specifically for pa
947748		Homo sapiens	Single Cell Genotypic and Phenotypic Analysis of Measurable Residual Disease in Acute Myeloid Leukemia		cancer|developmental|normal	50	Acute myeloid leukemia (AML) is a group of blood cancers with high mortality. Even though complete remission is often achieved, majority of the AML patients still relapse. Measurable residual disease 
1016055		Homo sapiens	The Chromatin Landscape of Pathogenic Transcriptional Cell States in Rheumatoid Arthritis	10x_chromium|atac	neurological|autoimmune	44	In this study, we characterized 24 rheumatoid arthritis (RA) synovial tissue chromatin classes (i.e., cell states defined by chromatin accessibility) across 5 cell types (T, B/plasma, myeloid, stromal
